name;type;lon;lat
Friendship Club Agiou Pavlou;pensioners' club;23.7221294;37.99126047
 Friendship Club “The Ascension of the Lord” Neos Kosmos;pensioners' club;23.72137463;37.95741806
Friendship Club in Votanikos;pensioners' club;23.70610045;37.97891932
Friendship Club in Kolokynthous;pensioners' club;23.71295832;37.99290019
Friendship Club in Agios Eleftherios;pensioners' club;23.72861605;38.01796298
Friendship Club in Kypseli;pensioners' club;23.74297914;37.9991994
Friendship Club in Ampelokipi;pensioners' club;23.75800084;37.98897453
