name;type;district_name;lat;lon
Centre Cívic del Bon Pastor;Community Center;Sant Andreu;41.434812438103414;2.2049292862975705
Associació de Veïnes i Veïns del Clot-Camp de l'Arpa de Barcelona;Community Center;Sant Martí;41.41032511357463;2.185975310373501
Casal de Gent Gran Joan Casanelles;Senior Center;Sant Martí;41.411654002846696;2.1928845041999008
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Sant Martí;41.42024040427745;2.204341750493709
Casal de Gent Gran Cotxeres de Sants;Senior Center;Sants-Montjuïc;41.37483734331482;2.136421053260438
Biblioteca Les Roquetes – Rafa Juncadella;Library;Nou Barris;41.44540260061121;2.1771207332794797
Refugi climàtic;Climate Shelter;Ciutat Vella;41.38390541351899;2.1694092669132554
Biblioteca Sant Pau - Santa Creu;Library;Ciutat Vella;41.38152415484547;2.168975056388426
Casal Cívic i Comunitari Guineueta;Community Center;Nou Barris;41.44034614709153;2.1665504640758444
Centre Informació;Neighborhood Center;Sarrià-Sant Gervasi;41.42098586112135;2.0995879296735516
Mercat Ciutat Meridiana;Market;Nou Barris;41.46171736162205;2.1778115794473596
Piscines Cobertes;Swimming Pool;Gràcia;41.415382668167865;2.1581717417338337
Biblioteca Sofia Barat;Library;Eixample;41.394705643823904;2.1715220785730867
Biblioteca;Library;Sant Martí;41.412651947747435;2.2220511148010376
Collegi Oficial de Metges de Barcelona;School / Educational;Sarrià-Sant Gervasi;41.40423624;2.129341454867993
Casal de Barri de Prosperitat;Neighborhood Center;Nou Barris;41.44171279566282;2.179926813319305
CRAI - Biblioteca;Library;Les Corts;41.38537847387165;2.1170443890573285
Casal de Barri de Trinitat Nova;Neighborhood Center;Nou Barris;41.452674128445565;2.1875023372106566
Casal de Gent Gran Pati Llimona;Senior Center;Ciutat Vella;41.381671969708705;2.1797346825803365
Casal Cívic Barcelona - Verdum Artesania;Community Center;Nou Barris;41.442428084710706;2.172551842
Mercat Abaceria Central;Market;Gràcia;41.40318652868216;2.1641791642522206
Casal Cívic i Comunitari Barcelona - Sant Andreu;Community Center;Sant Andreu;41.42836592457911;2.1907228362855546
Piscina Coberta;Swimming Pool;Horta-Guinardó;41.423207170456166;2.1585765552190233
Casal Cívic i Comunitari Sants;Community Center;Sants-Montjuïc;41.38005041258113;2.1335003201135647
Espai de Gent Gran  El Polvorí;Senior Center;Sants-Montjuïc;41.36362191725007;2.1411653630200176
Casal de Gent Gran de Sant Ildefons;Senior Center;Sarrià-Sant Gervasi;41.39690636103055;2.147463352453342
Museu Reial Monestir de Santa Maria de Pedralbes;Museum;Les Corts;41.395605165759946;2.112075084546918
Centre Cívic Cotxeres de Sants;Community Center;Sants-Montjuïc;41.37529848802474;2.136897693555585
Piscines Cobertes;Swimming Pool;Gràcia;41.412233568929814;2.1622422992641552
Centre Esportiu Municipal del Carmel;Sports Center;Horta-Guinardó;41.42320763393713;2.158570959948397
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Horta-Guinardó;41.43719278385573;2.156219669127352
Refugi climàtic;Climate Shelter;Gràcia;41.40255553570604;2.154436031679846
Piscina Coberta;Swimming Pool;Sants-Montjuïc;41.372137142800845;2.139359752043456
Refugi Climàtic Pati d'Escola;School / Educational;Horta-Guinardó;41.40844003176645;2.1669119630500093
Mercat Vall d'Hebron -Taxonera;Market;Horta-Guinardó;41.42406217314219;2.142452280248374
Mercat Bon Pastor;Market;Sant Andreu;41.43601348746426;2.206172152917636
Centre Cívic Font de la Guatlla;Community Center;Sants-Montjuïc;41.37058744098685;2.147525318360155
Centre Esportiu Municipal Can Toda;Sports Center;Gràcia;41.415382668167865;2.1581717417338337
Piscina Coberta;Swimming Pool;Horta-Guinardó;41.43575541409688;2.147158169831797
Refugi Climàtic Pati d'Escola;School / Educational;Sant Martí;41.405862270546855;2.188088422236328
Centre Esportiu Municipal Can Felipa;Sports Center;Sant Martí;41.40367975860696;2.200509712
Casal de Gent Gran Baró de Viver;Senior Center;Sant Andreu;41.44632071908157;2.200307689
Piscines Cobertes;Swimming Pool;Horta-Guinardó;41.43474287058415;2.1608551476985176
Centro Galego de Barcelona;Cultural Center;Ciutat Vella;41.37917165;2.174780873
Centre Cívic Sant Andreu;Community Center;Sant Andreu;41.43088018380354;2.1894124386376466
Centre Cívic Torre Llobeta;Community Center;Nou Barris;41.42693150965028;2.173966250593847
