name;type;lon;lat
Centro Sociale Ricreativo Il Parco;community centre;11.28558938;44.51133633
Centro sociale ricreativo culturale S.Viola;community centre;11.30533478;44.50713890
Centro Sociale Anziani Croce Coperta;community centre;11.35229373;44.53485584
MAMbo - Museo d'Arte Moderna di Bologna;museum;11.33656617;44.50293087
Biblioteca Salaborsa;library;11.34193192;44.495368
Biblioteca Comunale Dell'Archiginnasio ;library;11.34337708;44.49219392
Museo internazionale e biblioteca della musica;museum;11.35029580;44.49298513
