osm_id;name;operator;operator.type;community_centre;x;y;facility_category;addr.postcode;social_facility;social_facility.for
6134617932;"Liceo Linguistico Internazionale ""C. Boldrini""";NA;NA;NA;11.3426058;44.5134669;school;40129;NA;NA
11498872178;Scuola primaria Dozza;NA;NA;NA;11.3655957;44.5292005;school;40128;NA;NA
11998791937;Scuola Primaria Longhena;NA;NA;NA;11.307466;44.4773195;school;40135;NA;NA
11073552165;Scuola Primaria Romagnoli;NA;NA;NA;11.3930527;44.5090135;school;40127;NA;NA
11073552189;Scuola Secondaria di I grado Saffi;NA;public;NA;11.3921421;44.5100872;school;NA;NA;NA
11883282587;Scuola Primaria Scandellara;NA;public;NA;11.3845455;44.4970189;school;40138;NA;NA
11883285070;Scuola Secondaria di I Grado Jacopo della Quercia - Plesso B;NA;public;NA;11.3851831;44.4982097;school;40138;NA;NA
4319225326;Scuola Primaria Giosué Carducci;NA;NA;NA;11.3546433;44.4868228;school;NA;NA;NA
5943436238;Pingu's English School;NA;NA;NA;11.3686284;44.4844765;school;NA;NA;NA
6288814102;My English School;NA;NA;NA;11.3730492;44.4838203;school;NA;NA;NA
9881506855;"Liceo Artistico ""F. Arcangeli""";NA;NA;NA;11.3487289;44.4893679;school;40124;NA;NA
938279319;Scuola dell'infanzia Domenico Scarlatti;NA;NA;NA;11.3723518;44.4677161;school;NA;NA;NA
1704330914;Nido d'infanzia comunale Cavazzoni;NA;NA;NA;11.3836912;44.4691679;school;40139;NA;NA
1704382720;Scuola d'infanzia comunale Walt Disney;NA;NA;NA;11.3837615;44.4676489;school;40139;NA;NA
2652863200;Pavese;TPER;NA;NA;11.3601732;44.4506289;school;NA;NA;NA
279810423;Scuola secondaria di I grado Alessandro Volta;NA;public;NA;11.26782212;44.52307842;school;40132;NA;NA
304594642;Scuola Steineriana Maria Garagnani;NA;NA;NA;11.25717425;44.5015255;school;NA;NA;NA
444648948;Scuola d'infanzia Seragnoli;NA;NA;NA;11.29660692;44.50574285;school;NA;NA;NA
444949467;Scuola Primaria De Vigri;NA;NA;NA;11.30373571;44.51160947;school;40133;NA;NA
445043454;Scuola Elementare Cesana;NA;NA;NA;11.29888105;44.49264364;school;40133;NA;NA
465774605;Scuola Giovanni XXIII - Istituto Comprensivo 1;NA;NA;NA;11.28523037;44.49758847;school;NA;NA;NA
476040879;Scuola Elementare XXV Aprile;NA;NA;NA;11.28875497;44.48848289;school;NA;NA;NA
690220794;Scuola d'infanzia Mazzini;NA;NA;NA;11.26539194;44.52235484;school;NA;NA;NA
867529934;Scuola dell'Infanzia Fantini;NA;NA;NA;11.29300962;44.49137269;school;NA;NA;NA
872941927;Scuola Materna Villa May;NA;NA;NA;11.27665513;44.51484523;school;NA;NA;NA
1092915809;Scuola Primaria S. Giuseppe;NA;NA;NA;11.27737351;44.5012504;school;NA;NA;NA
1167524990;Scuola dell'Infanzia Futura;NA;NA;NA;11.29782839;44.49908597;school;40133;NA;NA
1187349371;Scuola Primaria Lipparini;NA;NA;NA;11.27445448;44.52081743;school;NA;NA;NA
1187349372;Scuola d'infanzia e Primaria Sacro Cuore;NA;NA;NA;11.27575021;44.51961045;school;NA;NA;NA
1187349378;Scuola d'infanzia Casa Del Bosco;NA;NA;NA;11.28514031;44.5107347;school;NA;NA;NA
1187349379;Scuola Primaria Fiorini;NA;NA;NA;11.29041614;44.51145949;school;NA;NA;NA
1187349392;Scuola d'infanzia e Primaria Adolfo Albertazzi;NA;NA;NA;11.30635389;44.50444616;school;NA;NA;NA
1196779334;"Scuola Primaria ""Due Agosto""";NA;NA;NA;11.27722628;44.50643011;school;NA;NA;NA
1196779358;Asilo Nido Acquerello;NA;NA;NA;11.27800918;44.50741391;school;NA;NA;NA
1292305734;Scuola Primaria Giorgio Morandi;NA;public;NA;11.29092629;44.49332156;school;40133;NA;NA
1392092616;Scuola d’infanzia Gallon;NA;NA;NA;11.26854105;44.5200942;school;NA;NA;NA
27040870;Istituti Aldini Valeriani e Sirani;NA;NA;NA;11.34629445;44.52234523;school;NA;NA;NA
149114111;Scuola  Materna Ada Zucchelli;NA;NA;NA;11.32194183;44.52386649;school;NA;NA;NA
149546349;Scuola primaria Casaralta;NA;NA;NA;11.35191421;44.51640354;school;40128;NA;NA
149546350;Scuola Media Statale Zappa;NA;NA;NA;11.35235823;44.52327785;school;40128;NA;NA
